"id", "closed_at", "created_at", "state", "url"
9320, None, 2019-01-14 22:34:51, open, https://api.github.com/repos/vuejs/vue/issues/9320
9330, 2019-02-04 22:43:49, 2019-01-16 16:46:33, closed, https://api.github.com/repos/vuejs/vue/issues/9330
9364, 2019-03-14 07:47:04, 2019-01-24 12:07:38, closed, https://api.github.com/repos/vuejs/vue/issues/9364
9382, 2019-01-31 15:08:36, 2019-01-28 16:41:01, closed, https://api.github.com/repos/vuejs/vue/issues/9382
9383, 2019-02-04 22:39:49, 2019-01-28 18:43:08, closed, https://api.github.com/repos/vuejs/vue/issues/9383
9396, 2019-01-31 15:24:59, 2019-01-31 11:04:04, closed, https://api.github.com/repos/vuejs/vue/issues/9396
9417, 2019-02-04 20:33:07, 2019-02-04 19:12:12, closed, https://api.github.com/repos/vuejs/vue/issues/9417
9506, 2019-02-18 22:18:05, 2019-02-16 08:36:43, closed, https://api.github.com/repos/vuejs/vue/issues/9506
9511, 2019-02-21 19:01:54, 2019-02-17 20:58:34, closed, https://api.github.com/repos/vuejs/vue/issues/9511
9571, 2019-02-28 22:37:53, 2019-02-25 14:26:49, closed, https://api.github.com/repos/vuejs/vue/issues/9571
9577, 2019-02-28 14:37:23, 2019-02-26 11:49:05, closed, https://api.github.com/repos/vuejs/vue/issues/9577
9616, 2019-03-05 21:46:57, 2019-03-04 11:06:26, closed, https://api.github.com/repos/vuejs/vue/issues/9616
9628, 2019-03-14 07:45:43, 2019-03-05 13:08:41, closed, https://api.github.com/repos/vuejs/vue/issues/9628
9641, 2019-03-08 17:01:03, 2019-03-06 21:50:14, closed, https://api.github.com/repos/vuejs/vue/issues/9641
9644, 2019-03-08 18:04:23, 2019-03-07 12:41:05, closed, https://api.github.com/repos/vuejs/vue/issues/9644
9698, 2019-03-15 01:07:15, 2019-03-14 10:22:31, closed, https://api.github.com/repos/vuejs/vue/issues/9698
9699, 2019-03-18 09:43:40, 2019-03-14 13:38:31, closed, https://api.github.com/repos/vuejs/vue/issues/9699
9707, 2019-03-18 08:19:42, 2019-03-15 07:21:40, closed, https://api.github.com/repos/vuejs/vue/issues/9707
9711, 2019-03-18 08:23:42, 2019-03-15 12:51:02, closed, https://api.github.com/repos/vuejs/vue/issues/9711
9781, 2020-09-21 14:01:47, 2019-03-27 07:18:08, closed, https://api.github.com/repos/vuejs/vue/issues/9781
9842, None, 2019-04-07 13:50:03, open, https://api.github.com/repos/vuejs/vue/issues/9842
9876, None, 2019-04-15 13:01:52, open, https://api.github.com/repos/vuejs/vue/issues/9876
9920, 2019-04-25 13:04:53, 2019-04-25 04:53:36, closed, https://api.github.com/repos/vuejs/vue/issues/9920
9972, None, 2019-05-03 22:59:25, open, https://api.github.com/repos/vuejs/vue/issues/9972
10004, None, 2019-05-09 16:59:33, open, https://api.github.com/repos/vuejs/vue/issues/10004
10029, None, 2019-05-15 12:55:28, open, https://api.github.com/repos/vuejs/vue/issues/10029
10083, None, 2019-05-29 08:27:36, open, https://api.github.com/repos/vuejs/vue/issues/10083
10087, 2020-09-21 15:42:08, 2019-05-30 13:41:52, closed, https://api.github.com/repos/vuejs/vue/issues/10087
10152, None, 2019-06-13 14:49:38, open, https://api.github.com/repos/vuejs/vue/issues/10152
10224, None, 2019-07-03 09:18:19, open, https://api.github.com/repos/vuejs/vue/issues/10224
10260, None, 2019-07-12 05:07:52, open, https://api.github.com/repos/vuejs/vue/issues/10260
10271, None, 2019-07-15 06:42:45, open, https://api.github.com/repos/vuejs/vue/issues/10271
10330, None, 2019-07-31 13:54:09, open, https://api.github.com/repos/vuejs/vue/issues/10330
10391, None, 2019-08-13 22:19:40, open, https://api.github.com/repos/vuejs/vue/issues/10391
10416, None, 2019-08-20 16:39:35, open, https://api.github.com/repos/vuejs/vue/issues/10416
10455, 2019-09-11 03:48:38, 2019-08-29 23:11:14, closed, https://api.github.com/repos/vuejs/vue/issues/10455
10480, None, 2019-09-05 19:49:10, open, https://api.github.com/repos/vuejs/vue/issues/10480
10485, None, 2019-09-06 02:00:37, open, https://api.github.com/repos/vuejs/vue/issues/10485
10519, 2020-09-21 10:24:18, 2019-09-15 00:00:23, closed, https://api.github.com/repos/vuejs/vue/issues/10519
10524, 2019-09-22 14:28:45, 2019-09-16 12:23:47, closed, https://api.github.com/repos/vuejs/vue/issues/10524
10547, None, 2019-09-22 20:08:58, open, https://api.github.com/repos/vuejs/vue/issues/10547
10614, None, 2019-10-10 16:16:52, open, https://api.github.com/repos/vuejs/vue/issues/10614
10628, None, 2019-10-13 14:06:54, open, https://api.github.com/repos/vuejs/vue/issues/10628
10731, None, 2019-10-18 17:05:31, open, https://api.github.com/repos/vuejs/vue/issues/10731
10733, None, 2019-10-20 16:02:54, open, https://api.github.com/repos/vuejs/vue/issues/10733
10803, 2020-09-21 14:04:59, 2019-11-06 14:59:35, closed, https://api.github.com/repos/vuejs/vue/issues/10803
10843, 2020-09-21 09:20:25, 2019-11-19 12:59:54, closed, https://api.github.com/repos/vuejs/vue/issues/10843
10867, 2020-09-21 14:16:46, 2019-11-26 10:10:45, closed, https://api.github.com/repos/vuejs/vue/issues/10867
10906, None, 2019-12-08 17:15:15, open, https://api.github.com/repos/vuejs/vue/issues/10906
10963, 2020-02-24 20:13:35, 2019-12-27 14:02:17, closed, https://api.github.com/repos/vuejs/vue/issues/10963
11032, None, 2020-01-19 00:28:26, open, https://api.github.com/repos/vuejs/vue/issues/11032
11059, None, 2020-01-29 10:24:11, open, https://api.github.com/repos/vuejs/vue/issues/11059
11084, None, 2020-02-05 23:54:37, open, https://api.github.com/repos/vuejs/vue/issues/11084
11109, None, 2020-02-14 14:53:03, open, https://api.github.com/repos/vuejs/vue/issues/11109
11171, None, 2020-03-02 13:38:31, open, https://api.github.com/repos/vuejs/vue/issues/11171
11248, None, 2020-03-26 15:05:43, open, https://api.github.com/repos/vuejs/vue/issues/11248
11297, None, 2020-04-08 20:36:50, open, https://api.github.com/repos/vuejs/vue/issues/11297
11299, None, 2020-04-09 14:05:19, open, https://api.github.com/repos/vuejs/vue/issues/11299
11315, None, 2020-04-15 21:06:09, open, https://api.github.com/repos/vuejs/vue/issues/11315
11446, None, 2020-06-10 04:47:20, open, https://api.github.com/repos/vuejs/vue/issues/11446
11533, None, 2020-07-22 08:09:44, open, https://api.github.com/repos/vuejs/vue/issues/11533
11569, None, 2020-08-06 10:10:06, open, https://api.github.com/repos/vuejs/vue/issues/11569
11575, None, 2020-08-07 14:27:38, open, https://api.github.com/repos/vuejs/vue/issues/11575
11652, None, 2020-09-09 07:52:34, open, https://api.github.com/repos/vuejs/vue/issues/11652
11713, None, 2020-10-07 09:58:47, open, https://api.github.com/repos/vuejs/vue/issues/11713
11714, None, 2020-10-07 16:54:58, open, https://api.github.com/repos/vuejs/vue/issues/11714
11771, None, 2020-11-13 21:33:16, open, https://api.github.com/repos/vuejs/vue/issues/11771
