"id", "closed_at", "created_at", "state", "url"
8938, None, 2017-02-07 01:29:52, open, https://api.github.com/repos/facebook/react/issues/8938
9023, None, 2017-02-17 18:31:19, open, https://api.github.com/repos/facebook/react/issues/9023
9038, 2017-10-31 11:48:09, 2017-02-21 21:49:33, closed, https://api.github.com/repos/facebook/react/issues/9038
9100, None, 2017-03-03 02:00:10, open, https://api.github.com/repos/facebook/react/issues/9100
9102, 2017-04-27 12:13:28, 2017-03-03 05:41:09, closed, https://api.github.com/repos/facebook/react/issues/9102
9142, None, 2017-03-09 18:13:08, open, https://api.github.com/repos/facebook/react/issues/9142
9315, 2017-04-02 18:29:19, 2017-04-02 04:25:39, closed, https://api.github.com/repos/facebook/react/issues/9315
9351, 2017-04-06 23:31:54, 2017-04-06 08:38:02, closed, https://api.github.com/repos/facebook/react/issues/9351
9361, 2017-09-11 15:42:37, 2017-04-07 13:06:18, closed, https://api.github.com/repos/facebook/react/issues/9361
9372, 2017-04-08 04:36:45, 2017-04-08 01:53:42, closed, https://api.github.com/repos/facebook/react/issues/9372
9402, None, 2017-04-11 10:54:25, open, https://api.github.com/repos/facebook/react/issues/9402
9504, 2017-10-04 16:37:24, 2017-04-23 19:04:24, closed, https://api.github.com/repos/facebook/react/issues/9504
9561, 2017-06-05 22:52:14, 2017-04-29 20:31:21, closed, https://api.github.com/repos/facebook/react/issues/9561
9577, 2017-08-04 14:51:48, 2017-05-01 22:26:33, closed, https://api.github.com/repos/facebook/react/issues/9577
9627, 2017-06-12 19:22:16, 2017-05-09 00:31:55, closed, https://api.github.com/repos/facebook/react/issues/9627
9635, 2017-10-04 16:26:31, 2017-05-09 16:29:28, closed, https://api.github.com/repos/facebook/react/issues/9635
9667, 2017-09-22 23:08:44, 2017-05-11 19:46:50, closed, https://api.github.com/repos/facebook/react/issues/9667
9783, 2018-01-05 16:21:35, 2017-05-26 08:21:45, closed, https://api.github.com/repos/facebook/react/issues/9783
9901, 2017-10-04 17:24:23, 2017-06-08 22:50:56, closed, https://api.github.com/repos/facebook/react/issues/9901
9913, 2017-06-13 11:12:02, 2017-06-09 23:18:57, closed, https://api.github.com/repos/facebook/react/issues/9913
9956, 2017-06-15 00:11:24, 2017-06-14 11:29:56, closed, https://api.github.com/repos/facebook/react/issues/9956
9963, 2017-06-15 00:11:16, 2017-06-14 15:54:20, closed, https://api.github.com/repos/facebook/react/issues/9963
9999, None, 2017-06-19 05:50:17, open, https://api.github.com/repos/facebook/react/issues/9999
10013, 2017-10-10 10:54:47, 2017-06-20 16:38:38, closed, https://api.github.com/repos/facebook/react/issues/10013
10078, 2017-10-04 20:06:56, 2017-06-30 08:27:03, closed, https://api.github.com/repos/facebook/react/issues/10078
10089, 2017-07-10 21:41:51, 2017-07-01 12:28:59, closed, https://api.github.com/repos/facebook/react/issues/10089
10100, 2017-07-12 17:55:19, 2017-07-03 21:17:44, closed, https://api.github.com/repos/facebook/react/issues/10100
10109, None, 2017-07-05 11:01:18, open, https://api.github.com/repos/facebook/react/issues/10109
